SID	Lactobacillus	Prevotella	Gardnerella	Megasphaera	Parvimonas	Clostridium	Porphyromonas	Adlercreutzia	Dialister	Atopobium	Sneathia	molBV
END103	90	763	8	16	0	62	230	6	268	4	1	9.26519361352333
END016	112	129	3	896	0	11	18	4	28	2	4	8.72621413105391
END111	9	20	3	2	0	0	0	0	0	0	0	8.85410718799019
END105	12587	89	6	3	0	1029	67	1	2	2	1	2.82284839450063
END109	78	494	7	6	0	69	12	8	5	1	3	8.51772986801293
END107	53	1829	5639	2092	58	648	1	150	340	1324	1094	10
MS20952	1143	4139	605	295	110	105	4	80	111	221	688	8.83709442459525
MS20859	480	4118	1039	854	18	181	19	32	252	95	170	9.8359128833942
END016D	95	182	9	1069	1	21	14	3	34	2	11	9.25432614259349
END085	74	1354	134	85	1	11	3	5	173	2	11	9.60397824770364
END106	72	2737	32	101	18	36	69	9	169	40	275	10
END108	8	60	41	13	2	0	0	2	0	2	0	9.92527188719693
MS20383	14861	45	346	14	6	16	2	7	10	20	75	3.43868167384849
MS20497	14384	28	48	21	4	12	1	15	9	18	10	3.06718819064263
END052	268	2754	17	2	9	24	543	4	536	2	6	8.20955747294518
END107D	28	1000	4050	1285	27	412	2	86	230	904	613	10
MS20278	20520	52	92	39	0	22	4	16	19	29	21	3.13312780116328
MS20530	1216	5057	7921	1310	36	92	28	45	197	328	4646	9.58376571934213
MS20323	14481	37	80	21	1	18	1	8	13	14	17	3.10327607522367
MS20829	4149	3438	4922	958	38	334	7	141	826	104	393	8.03042423041945
MS20512	9507	31	36	44	1	8	1	5	8	15	9	3.36001512362473
MS20302	15769	52	56	26	7	12	2	13	8	24	12	3.17552363242956
MS20617	6455	1594	7295	2805	24	88	6	180	177	577	107	7.41689324979887
MS20647	12676	55	141	18	0	15	0	6	9	17	14	3.12468231918747
MS20440	13697	32	47	18	1	21	8	4	6	30	1114	3.57051020039696
MS20317	17228	41	532	30	2	18	3	7	11	31	13	3.30527491501669
MS20401	5498	67	7582	52	20	40	3	19	45	52	26	5.61279783492913
MS20299	10013	46	66	20	5	26	3	7	5	18	15	3.61401840761389
MS20641	17438	36	59	26	0	15	3	10	15	26	9	2.94066487989902
MS19331	20671	164	75	31	1	19	0	6	9	24	16	2.85477435914788
MS20281	1194	4183	6616	1533	44	2792	12	99	117	1002	2318	10
MS20856	10160	5381	1061	41	127	160	117	19	172	324	53	6.21457681268754
MS20778	4186	1974	8715	1296	24	919	7	571	548	900	115	8.43081134218414
MS20338	11268	56	50	26	5	12	3	5	5	23	9	3.38004020081263
MS21092	3117	5144	1123	458	27	241	39	88	91	110	34	7.67434812549954
MS20248	3606	2085	4248	1246	47	507	7	574	211	1481	951	8.65926609599257
MS20314	8445	27	45	21	1	11	1	3	8	9	9	3.31066660621423
MS20545	1222	6221	6777	47	107	56	23	296	414	1002	4505	9.46596681306875
MS20266	2134	2153	4874	985	30	256	7	82	212	620	279	8.66014330215038
MS20272	16606	140	56	22	3	25	1	8	15	28	20	3.26834636912656
MS20341	1062	4828	1455	2790	61	376	20	325	306	188	122	9.72093949646304
MS20632	1609	136	13545	15	1	6	2	4	18	18	13	6.0267548802878
MS20365	8440	49	28	13	3	7	1	9	2	13	6	3.23975121186898
MS20569	628	252	14734	160	348	230	4	50	307	3001	505	9.9933113851925
MS20392	4217	2263	6265	1662	11	59	12	308	216	754	1034	8.10095928499174
